"0","Too design","422.58","Produce","Trader Joes","2022-10-09 15:13:51"
"1","Although skill me movement","187.03","Beverages","Harris Teeters","2022-10-09 18:28:31"
"2","Modern determine","360.21","Prepared Food","Whole Foods","2022-10-16 00:05:23"
"3","Deal important current seven","365.29","Baking","Whole Foods","2022-10-18 00:02:23"
"4","Improve good save return father","450.50","Prepared Food","Trader Joes","2022-10-15 15:51:37"
"5","Very during current","336.80","Seafood","Whole Foods","2022-10-09 21:31:59"
"6","Window sell statement deal","429.05","Baked Goods","Whole Foods","2022-10-14 07:05:41"
"7","Together painting value alone","96.62","Pantry","Harris Teeters","2022-10-09 20:27:19"
"8","Relationship no","107.47","Produce","Trader Joes","2022-10-17 18:14:47"
"9","Direction campaign Congress push","268.78","Bread","Trader Joes","2022-10-10 01:41:30"
"10","Out I","31.25","Baking","Harris Teeters","2022-10-20 09:28:42"
"11","Decision about idea must","133.59","Beverages","Whole Foods","2022-10-07 19:19:56"
"12","Low approach case reflect","354.78","Prepared Food","Trader Joes","2022-10-15 03:19:19"
"13","Force art culture protect","375.00","Seafood","Harris Teeters","2022-10-08 13:58:44"
"14","Significant debate front free","244.71","Frozen Food","Trader Joes","2022-10-16 02:16:14"
"15","Court hot audience machine admit","100.00","Frozen Food","Trader Joes","2022-10-11 08:38:07"
"16","Final might before","387.76","Canned Goods","Whole Foods","2022-10-16 02:47:30"
"17","Community two back better","305.12","Bread","Harris Teeters","2022-10-08 07:51:39"
"18","Hotel ever seek","324.64","Sauces","Trader Joes","2022-10-18 03:27:24"
"19","Name sound still for best","459.43","Meat","Trader Joes","2022-10-12 20:57:52"
"20","Establish process","17.51","Produce","Whole Foods","2022-10-15 00:56:29"
"21","Line go","464.23","Prepared Food","Harris Teeters","2022-10-12 12:07:26"
"22","Meet other close","140.87","Pantry","Trader Joes","2022-10-17 05:17:58"
"23","Case establish cost buy","113.17","Dairy & Eggs","Harris Teeters","2022-10-08 14:25:23"
"24","Last generation across","100.44","Meat","Trader Joes","2022-10-12 13:32:42"
"25","Trip election","95.73","Produce","Trader Joes","2022-10-07 11:22:02"
"26","Employee grow ok physical","493.48","Canned Goods","Harris Teeters","2022-10-13 03:21:45"
"27","Husband heavy stuff cover","465.38","Baked Goods","Harris Teeters","2022-10-18 10:49:35"
"28","Another everything those","495.20","Prepared Food","Whole Foods","2022-10-18 01:59:04"
"29","Treatment early wait","12.19","Produce","Whole Foods","2022-10-19 22:30:23"
"30","Community summer third","155.78","Produce","Whole Foods","2022-10-12 23:34:50"
"31","Risk whether","55.72","Canned Goods","Whole Foods","2022-10-15 11:35:37"
"32","Statement religious force us","114.92","Produce","Harris Teeters","2022-10-18 21:15:11"
"33","Effect mention fire","266.95","Canned Goods","Harris Teeters","2022-10-11 15:20:16"
"34","Enough each technology hot tax","193.41","Bread","Whole Foods","2022-10-14 14:23:06"
"35","Identify stand positive record","496.35","Produce","Harris Teeters","2022-10-08 15:37:24"
"36","Student treatment challenge vote","249.69","Prepared Food","Trader Joes","2022-10-08 14:21:35"
"37","Defense brother foot","8.43","Seafood","Trader Joes","2022-10-18 21:37:02"
"38","Child loss","306.31","Beverages","Harris Teeters","2022-10-15 23:28:17"
"39","Enough accept stay","275.72","Meat","Trader Joes","2022-10-13 02:17:23"
"40","Try wait side part","488.73","Baked Goods","Whole Foods","2022-10-15 23:48:20"
"41","Leave provide story","149.16","Seafood","Harris Teeters","2022-10-15 22:32:07"
"42","Design institution","337.08","Meat","Trader Joes","2022-10-08 19:54:19"
"43","Author somebody car","58.14","Pantry","Harris Teeters","2022-10-11 17:32:49"
"44","Company cover","102.68","Baked Goods","Trader Joes","2022-10-15 12:24:12"
"45","Moment price","400.86","Sauces","Whole Foods","2022-10-13 05:37:56"
"46","Matter ever stock","108.78","Beverages","Whole Foods","2022-10-18 05:12:26"
"47","Audience generation set","300.39","Bread","Harris Teeters","2022-10-10 18:09:30"
"48","Adult possible six","239.99","Canned Goods","Whole Foods","2022-10-19 08:39:28"
"49","Participant sit I cause","187.97","Sauces","Whole Foods","2022-10-18 21:48:54"
"50","Civil avoid material line other","130.22","Dairy & Eggs","Harris Teeters","2022-10-06 15:55:10"
"51","Enough American over road","406.44","Prepared Food","Whole Foods","2022-10-20 03:59:27"
"52","Sure statement number PM","249.99","Seafood","Whole Foods","2022-10-09 13:48:23"
"53","Tend any home","133.44","Meat","Harris Teeters","2022-10-19 09:04:12"
"54","Fund cell change rock before","465.44","Bread","Whole Foods","2022-10-16 06:28:38"
"55","Teacher once","430.49","Prepared Food","Whole Foods","2022-10-18 20:17:28"
"56","Use education too","288.07","Prepared Food","Harris Teeters","2022-10-09 06:28:05"
"57","List fire develop","402.56","Produce","Harris Teeters","2022-10-10 15:53:28"
"58","Personal network nature cost","359.16","Pantry","Whole Foods","2022-10-18 01:31:34"
"59","Newspaper up year particular","257.97","Meat","Whole Foods","2022-10-07 09:08:13"
"60","Clearly relate fire","254.50","Pantry","Trader Joes","2022-10-19 07:24:37"
"61","Along various century energy","359.20","Bread","Whole Foods","2022-10-10 16:10:35"
"62","Simple between say statement","422.79","Meat","Trader Joes","2022-10-12 00:22:53"
"63","Police identify carry minute parent","269.13","Produce","Harris Teeters","2022-10-16 05:37:25"
"64","Factor kind probably sound","327.40","Produce","Trader Joes","2022-10-15 22:45:19"
"65","Blood whose marriage kid","390.27","Prepared Food","Trader Joes","2022-10-10 18:28:54"
"66","Woman strategy","321.44","Produce","Whole Foods","2022-10-09 16:31:00"
"67","Middle once news develop news","240.81","Baking","Whole Foods","2022-10-10 22:37:37"
"68","Work more","149.64","Baked Goods","Harris Teeters","2022-10-08 20:51:10"
"69","Man interview","455.91","Sauces","Whole Foods","2022-10-12 16:06:51"
"70","Amount national war sense","296.67","Prepared Food","Trader Joes","2022-10-14 17:51:55"
"71","Institution name perform themselves","36.11","Baked Goods","Harris Teeters","2022-10-12 02:48:03"
"72","Democratic political population","335.68","Dairy & Eggs","Trader Joes","2022-10-10 19:43:20"
"73","If during because share actually","157.51","Canned Goods","Harris Teeters","2022-10-18 02:20:44"
"74","Certain thus","186.97","Seafood","Whole Foods","2022-10-09 13:41:32"
"75","Certainly worker receive","339.62","Canned Goods","Trader Joes","2022-10-17 23:12:24"
"76","Result nothing college thought","458.40","Frozen Food","Harris Teeters","2022-10-10 17:54:55"
"77","Image him soldier suddenly myself","208.18","Baking","Whole Foods","2022-10-17 08:01:57"
"78","Prepare fight","100.03","Produce","Whole Foods","2022-10-19 05:48:48"
"79","Determine action who special","149.78","Meat","Trader Joes","2022-10-06 14:12:14"
"80","Would wind","263.42","Sauces","Whole Foods","2022-10-15 08:41:39"
"81","Skill middle theory ok","143.02","Bread","Harris Teeters","2022-10-09 21:11:11"
"82","Someone west","447.70","Sauces","Whole Foods","2022-10-14 16:23:30"
