"0","Serious inside else memory","25.38","Bread","Trader Joes","2022-12-05 11:22:13"
"1","On traditional measure example","48.12","Pantry","Harris Teeters","2022-11-29 23:39:46"
"2","Work special total financial role","43.42","Baking","Whole Foods","2022-12-05 08:46:32"
"3","Beyond its particularly tree whom","30.56","Frozen Food","Whole Foods","2022-12-06 13:26:34"
"4","Artist truth trouble","5.92","Meat","Trader Joes","2022-12-03 14:03:50"
"5","Ability management test during foot","4.24","Prepared Food","Trader Joes","2022-12-07 16:19:53"
"6","Draw whose sort","28.11","Bread","Trader Joes","2022-11-25 20:35:44"
"7","Themselves your majority feeling","18.90","Bread","Trader Joes","2022-11-26 22:26:24"
"8","Four two data son natural","18.56","Sauces","Trader Joes","2022-11-26 03:06:43"
"9","Something first drug contain start","2.78","Sauces","Whole Foods","2022-11-30 05:13:34"
"10","Attorney quickly candidate change","2.10","Sauces","Harris Teeters","2022-12-07 00:39:17"
"11","Study modern miss dog","13.86","Baking","Harris Teeters","2022-12-04 02:03:51"
"12","Every manage political record word","22.10","Canned Goods","Trader Joes","2022-12-01 18:39:55"
"13","Break onto friend couple administration","17.14","Seafood","Whole Foods","2022-11-29 06:09:36"
"14","Some forward staff beyond","9.89","Dairy & Eggs","Harris Teeters","2022-11-29 05:10:38"
"15","Stage plant","34.77","Prepared Food","Whole Foods","2022-11-25 16:50:19"
"16","Buy country","36.15","Frozen Food","Whole Foods","2022-12-03 09:37:42"
"17","Have wonder","2.77","Bread","Harris Teeters","2022-11-24 10:20:12"
"18","Which continue buy","13.93","Seafood","Harris Teeters","2022-11-25 09:19:01"
"19","Name per","16.08","Produce","Whole Foods","2022-11-29 06:22:29"
"20","Positive go","11.07","Frozen Food","Harris Teeters","2022-12-06 03:07:19"
"21","Always beyond write current","22.93","Meat","Trader Joes","2022-12-05 07:39:11"
"22","College pull whom around put","10.43","Sauces","Whole Foods","2022-12-06 18:10:24"
"23","Bring TV program","0.60","Pantry","Whole Foods","2022-12-03 20:31:10"
"24","Themselves true power home price","9.71","Baked Goods","Whole Foods","2022-11-24 04:58:37"
