"0","Too design","422.58","Baking","Whole Foods","2022-10-10 12:24:44"
"1","Although skill me movement","187.03","Bread","Harris Teeters","2022-10-10 15:39:24"
"2","Modern determine","360.21","Pantry","Whole Foods","2022-10-16 21:16:16"
"3","Deal important current seven","365.29","Pantry","Whole Foods","2022-10-18 21:13:16"
"4","Improve good save return father","450.50","Cheese","Harris Teeters","2022-10-16 13:02:30"
"5","Very during current","336.80","Dairy & Eggs","Harris Teeters","2022-10-10 18:42:52"
"6","Window sell statement deal","429.05","Pantry","Harris Teeters","2022-10-15 04:16:34"
"7","Together painting value alone","96.62","Pantry","Whole Foods","2022-10-10 17:38:12"
"8","Relationship no","107.47","Pantry","Harris Teeters","2022-10-18 15:25:40"
"9","Direction campaign Congress push","268.78","Cheese","Whole Foods","2022-10-10 22:52:23"
"10","Out I","31.25","Prepared Food","Trader Joes","2022-10-21 06:39:35"
"11","Decision about idea must","133.59","Bread","Trader Joes","2022-10-08 16:30:49"
"12","Low approach case reflect","354.78","Dairy & Eggs","Whole Foods","2022-10-16 00:30:12"
"13","Force art culture protect","375.00","Prepared Food","Harris Teeters","2022-10-09 11:09:37"
"14","Significant debate front free","244.71","Produce","Whole Foods","2022-10-16 23:27:07"
"15","Court hot audience machine admit","100.00","Canned Goods","Trader Joes","2022-10-12 05:49:00"
"16","Final might before","387.76","Bread","Whole Foods","2022-10-16 23:58:23"
"17","Community two back better","305.12","Meat","Trader Joes","2022-10-09 05:02:32"
"18","Hotel ever seek","324.64","Meat","Whole Foods","2022-10-19 00:38:17"
"19","Name sound still for best","459.43","Bread","Whole Foods","2022-10-13 18:08:45"
"20","Establish process","17.51","Sauces","Harris Teeters","2022-10-15 22:07:22"
"21","Line go","464.23","Meat","Harris Teeters","2022-10-13 09:18:19"
"22","Meet other close","140.87","Produce","Whole Foods","2022-10-18 02:28:51"
"23","Case establish cost buy","113.17","Beverages","Trader Joes","2022-10-09 11:36:16"
"24","Last generation across","100.44","Produce","Trader Joes","2022-10-13 10:43:35"
